Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2015Q3,71,"Arts, Entertainment, and Recreation",2253
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q3,71,"Arts, Entertainment, and Recreation",2064
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q3,71,"Arts, Entertainment, and Recreation",2021
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q3,71,"Arts, Entertainment, and Recreation",2176
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q4,71,"Arts, Entertainment, and Recreation",2268
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2015Q4,71,"Arts, Entertainment, and Recreation",2349
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q4,71,"Arts, Entertainment, and Recreation",2406
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q4,71,"Arts, Entertainment, and Recreation",2341
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q4,71,"Arts, Entertainment, and Recreation",2535
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2015Q1,71,"Arts, Entertainment, and Recreation",79
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q1,71,"Arts, Entertainment, and Recreation",84
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q1,71,"Arts, Entertainment, and Recreation",112
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,71,"Arts, Entertainment, and Recreation",172
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q1,71,"Arts, Entertainment, and Recreation",104
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2015Q2,71,"Arts, Entertainment, and Recreation",1438
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2020Q1,71,"Arts, Entertainment, and Recreation",-1494
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q2,71,"Arts, Entertainment, and Recreation",1836
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q2,71,"Arts, Entertainment, and Recreation",1686
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q2,71,"Arts, Entertainment, and Recreation",1676
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q2,71,"Arts, Entertainment, and Recreation",1900
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2020Q2,71,"Arts, Entertainment, and Recreation",TBD
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2015Q3,71,"Arts, Entertainment, and Recreation",-466
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1518
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,1698
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1533
