Time,Indicator,Employment_Status,Indicator_Status,Location,Amount,Unemployment_Rate,,,,
Time,Indicator,Employment_Status,Indicator_Status,Location,Amount,Unemployment_Rate,,,,
2015Q3,TANF Workers,,,"Allegany County, Maryland",90,,,,,
2015Q4,TANF Workers,,,"Allegany County, Maryland",79,,,,,
2015Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.3295978905735,0.0032959789057349998,,,,,
2015Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.284951666,0.00284951666,,,,,
2016Q1,TANF Workers,,,"Allegany County, Maryland",69,,,,,
2016Q2,TANF Workers,,,"Allegany County, Maryland",60,,,,,
2016Q3,TANF Workers,,,"Allegany County, Maryland",62,,,,,
2016Q4,TANF Workers,,,"Allegany County, Maryland",69,,,,,
2016Q1,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.258630383447655,0.00258630383447655,,,,,
2016Q2,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.217155266015201,0.00217155266015201,,,,,
2016Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.22893434753711,0.0022893434753711002,,,,,
2016Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.245438053569523,0.00245438053569523,,,,,
2017Q1,TANF Workers,,,"Allegany County, Maryland",35,,,,,
2017Q2,TANF Workers,,,"Allegany County, Maryland",44,,,,,
2017Q3,TANF Workers,,,"Allegany County, Maryland",47,,,,,
2017Q4,TANF Workers,,,"Allegany County, Maryland",44,,,,,
2017Q1,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.13134193935755,0.0013134193935755,,,,,
2017Q2,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.160666033739867,0.00160666033739867,,,,,
2017Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.176247797,0.0017624779700000002,,,,,
2017Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.158006248,0.00158006248,,,,,
2018Q1,TANF Workers,,,"Allegany County, Maryland",45,,,,,
2018Q2,TANF Workers,,,"Allegany County, Maryland",52,,,,,
2018Q3,TANF Workers,,,"Allegany County, Maryland",58,,,,,
2018Q4,TANF Workers,,,"Allegany County, Maryland",47,,,,,
2018Q1,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.168312388,0.00168312388,,,,,
2018Q2,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.190002923,0.0019000292299999999,,,,,
2018Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.213243134,0.00213243134,,,,,
2018Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.167372957,0.00167372957,,,,,
2019Q1,TANF Workers,,,"Allegany County, Maryland",42,,,,,
2019Q2,TANF Workers,,,"Allegany County, Maryland",63,,,,,
2019Q1,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.15326789,0.0015326788999999999,,,,,
2019Q2,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.225588141,0.00225588141,,,,,
2016Q3,TANF Participants in Workforce Service ,,,"Allegany County, Maryland",2,,,,,
2016Q3,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.917431193,0.00917431193,,,,,,
2017Q1,TANF Participants in Workforce Service ,,,"Allegany County, Maryland",4,,,,,
2017Q2,TANF Participants in Workforce Service ,,,"Allegany County, Maryland",2,,,,,
2017Q3,TANF Participants in Workforce Service ,,,"Allegany County, Maryland",1,,,,,
2017Q4,TANF Participants in Workforce Service ,,,"Allegany County, Maryland",2,,,,,
2017Q1,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",1.47601476,0.0147601476,,,,,,
2017Q2,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.711743772,0.0071174377200000005,,,,,,
2017Q3,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.46728972,0.004672897200000001,,,,,,
2017Q4,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",1.290322581,0.01290322581,,,,,,
2018Q1,TANF Participants in Workforce Service ,,,"Allegany County, Maryland",2,,,,,
2018Q2,TANF Participants in Workforce Service ,,,"Allegany County, Maryland",1,,,,,
2018Q4,TANF Participants in Workforce Service ,,,"Allegany County, Maryland",3,,,,,
2018Q1,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.909090909,0.00909090909,,,,,,
2018Q2,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.64516129,0.0064516129,,,,,,
2018Q4,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",2.222222222,0.02222222222,,,,,,
2017,SNAP Recipient Workers,,,"Allegany County, Maryland",5011,,,,,
2018,SNAP Recipient Workers,,,"Allegany County, Maryland",4880,,,,,
2019,SNAP Recipient Workers,,,"Allegany County, Maryland",4835,,,,,
2020,SNAP Recipient Workers,,,"Allegany County, Maryland",4620,,,,,
2017,SNAP Recipient Workers by Percentage,,,"Allegany County, Maryland",0.01967,1.9666,,,,
2018,SNAP Recipient Workers by Percentage,,,"Allegany County, Maryland",0.02046,2.0463,,,,
2019,SNAP Recipient Workers by Percentage,,,"Allegany County, Maryland",0.02011,2.0105,,,,
2020,SNAP Recipient Workers by Percentage,,,"Allegany County, Maryland",0.02007,2.0068,,,,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2597,,,,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2569,,,,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2632,,,,
2018,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2604,,,,
2019,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2645,,,,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",28656,,,,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",27995,,,,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",27162,,,,
2018,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",26986,,,,
2019,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",26044,,,,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",3827,,,,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",3597,,,,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",3254,,,,
2018,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",3113,,,,
2019,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",2849,,,,
2019,Median Household Income,,,"Allegany County, Maryland",45893,,,,,,
2015,Total Population,,,"Allegany County, Maryland",73549,,,,,
2016,Total Population,,,"Allegany County, Maryland",73060,,,,,
2017,Total Population,,,"Allegany County, Maryland",72591,,,,,
2018,Total Population,,,"Allegany County, Maryland",71977,,,,,
2019,Total Population,,,"Allegany County, Maryland",71445,,,,,
2015,Median Household Income,,,"Allegany County, Maryland",40551,,,,,,
2017,Median Household Income,,,"Allegany County, Maryland",42771,,,,,,
2016,Median Household Income,,,"Allegany County, Maryland",41559,,,,,,
2018,Median Household Income,,,"Allegany County, Maryland",44065,,,,,,
2018,Unemployment By Gender,,Male,"Allegany County, Maryland",8.4,0.084
2015,Unemployment By Gender,,Male,"Allegany County, Maryland",10.7,0.107
2016,Unemployment By Gender,,Male,"Allegany County, Maryland",10.3,0.10300000000000001
2017,Unemployment By Gender,,Male,"Allegany County, Maryland",9.6,0.096
2019,Unemployment By Gender,,Male,"Allegany County, Maryland",6.7,0.067
2016,Unemployment By Race,,Hispanic,"Allegany County, Maryland",18.5,0.185
2017,Unemployment By Race,,Hispanic,"Allegany County, Maryland",18.4,0.184
2018,Unemployment By Race,,Hispanic,"Allegany County, Maryland",15.5,0.155
2019,Unemployment By Race,,Hispanic,"Allegany County, Maryland",11.4,0.114
2015,Unemployment By Gender,,Female,"Allegany County, Maryland",7.9,0.079
2016,Unemployment By Gender,,Female,"Allegany County, Maryland",7.1,0.071
2017,Unemployment By Gender,,Female,"Allegany County, Maryland",6.8,0.068
2018,Unemployment By Gender,,Female,"Allegany County, Maryland",6.7,0.067
2019,Unemployment By Gender,,Female,"Allegany County, Maryland",5.8,0.057999999999999996
2015,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",580,,,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",2595,,,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",2357,,,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",2114,,,,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",535,,,,
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",1961,,,,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",26061,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",1645,,,,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",25638,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",602,,,,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",25048,
2018,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",25025,
2018,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",556,,,,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5874,
2019,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",24399,
2019,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",473,,,,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5845,
2015,Unemployment By Race,,Hispanic,"Allegany County, Maryland",18.2,0.182
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5818,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",189,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5525,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",193,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5592,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",122,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",194,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",192,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1158,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1173,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1124,
2018,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1244,
2016,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",8026,
2019,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1379,
2017,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",7563,
2015,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",8141,
2018,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",7503,
2019,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",7429,
2016,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",891,
2019,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",658,
2017,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",915,
2018,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",814,
2015,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",940,
2015,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5588,
2017,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5625,
2018,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5741,
2016,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5653,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2658,
2019,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5849,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2456,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2180,
2019,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",1993,
2018,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2124,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",1169,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",1074,
2016,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2034,,,,
2019,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",856,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",1141,
2018,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",989,
2015,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2017,,,,
2016,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",1004,
2018,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2048,,,,
2015,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",1092,
2019,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2172,,,,
2017,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2030,,,,
2017,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",984,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",133,
2018,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",108,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",150,
2018,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",850,
2019,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",786,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",125,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",76,
2015,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2348,
2017,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2195,
2016,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2165,
2018,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2178,
2019,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2102,
2015,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",10.1,0.10099999999999999
2016,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",9.3,0.09300000000000001
2017,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",9,0.09
2018,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",8.3,0.083
2015,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",11.4,0.114
2019,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",7.3,0.073
2016,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",12,0.12
2017,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",10.7,0.107
2019,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",9.3,0.09300000000000001
2018,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",11.4,0.114
