Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2020Q2,11,"Agriculture, Forestry, Fishing and Hunting",TBD
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q3,11,"Agriculture, Forestry, Fishing and Hunting",-1
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q3,11,"Agriculture, Forestry, Fishing and Hunting",-2
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q3,11,"Agriculture, Forestry, Fishing and Hunting",2
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q3,11,"Agriculture, Forestry, Fishing and Hunting",-2
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q3,11,"Agriculture, Forestry, Fishing and Hunting",-1
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q4,11,"Agriculture, Forestry, Fishing and Hunting",-3
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q4,11,"Agriculture, Forestry, Fishing and Hunting",-2
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q4,11,"Agriculture, Forestry, Fishing and Hunting",0
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q4,11,"Agriculture, Forestry, Fishing and Hunting",0
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q4,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q1,11,"Agriculture, Forestry, Fishing and Hunting",6
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q1,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q1,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q1,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q1,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2020Q1,11,"Agriculture, Forestry, Fishing and Hunting",3
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q2,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q2,11,"Agriculture, Forestry, Fishing and Hunting",2
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q2,11,"Agriculture, Forestry, Fishing and Hunting",7
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q2,11,"Agriculture, Forestry, Fishing and Hunting",4
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q2,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2020Q2,11,"Agriculture, Forestry, Fishing and Hunting",3
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q3,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q3,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q3,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q3,11,"Agriculture, Forestry, Fishing and Hunting",3
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q3,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q4,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q4,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q4,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q4,11,"Agriculture, Forestry, Fishing and Hunting",0
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q4,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2017Q1,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2015Q1,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2016Q1,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2018Q1,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2019Q1,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2015Q2,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2020Q1,11,"Agriculture, Forestry, Fishing and Hunting",TBD
Separations,Baltimore City WIA,Maryland Separations by Industry,2017Q2,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2016Q2,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2018Q2,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2016Q3,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2020Q2,11,"Agriculture, Forestry, Fishing and Hunting",TBD
Separations,Baltimore City WIA,Maryland Separations by Industry,2015Q3,11,"Agriculture, Forestry, Fishing and Hunting",4
Separations,Baltimore City WIA,Maryland Separations by Industry,2019Q2,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2018Q3,11,"Agriculture, Forestry, Fishing and Hunting",3
Separations,Baltimore City WIA,Maryland Separations by Industry,2017Q3,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2015Q4,11,"Agriculture, Forestry, Fishing and Hunting",3
Separations,Baltimore City WIA,Maryland Separations by Industry,2019Q3,11,"Agriculture, Forestry, Fishing and Hunting",0
Separations,Baltimore City WIA,Maryland Separations by Industry,2016Q4,11,"Agriculture, Forestry, Fishing and Hunting",0
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1837
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,1990
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1853
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,2050
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,2454
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,1957
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,2183
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,2071
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,2212
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,2317
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,2114
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,1992
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,TBD
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,2113
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,2114
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,2271
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q4,72,Accommodation and Food Services,2140
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,2125
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,2178
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q4,72,Accommodation and Food Services,2267
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q4,72,Accommodation and Food Services,2366
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q1,72,Accommodation and Food Services,486
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q1,72,Accommodation and Food Services,-33
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q1,72,Accommodation and Food Services,1047
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q1,72,Accommodation and Food Services,325
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q1,72,Accommodation and Food Services,189
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q2,72,Accommodation and Food Services,1173
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2020Q1,72,Accommodation and Food Services,-7522
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q2,72,Accommodation and Food Services,1070
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q2,72,Accommodation and Food Services,1164
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2020Q2,72,Accommodation and Food Services,TBD
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q2,72,Accommodation and Food Services,923
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q2,72,Accommodation and Food Services,1389
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q3,72,Accommodation and Food Services,-99
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q3,72,Accommodation and Food Services,-714
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q3,72,Accommodation and Food Services,-431
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q3,72,Accommodation and Food Services,-482
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q3,72,Accommodation and Food Services,-333
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q4,72,Accommodation and Food Services,-609
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q4,72,Accommodation and Food Services,-947
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q4,72,Accommodation and Food Services,-812
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q4,72,Accommodation and Food Services,-205
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q4,72,Accommodation and Food Services,-363
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q1,72,Accommodation and Food Services,4464
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q1,72,Accommodation and Food Services,4822
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q1,72,Accommodation and Food Services,5070
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q1,72,Accommodation and Food Services,5911
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q1,72,Accommodation and Food Services,5099
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2020Q1,72,Accommodation and Food Services,4680
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q2,72,Accommodation and Food Services,7073
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q2,72,Accommodation and Food Services,6936
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q2,72,Accommodation and Food Services,7059
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q2,72,Accommodation and Food Services,7350
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,2114
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q2,72,Accommodation and Food Services,8213
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q3,72,Accommodation and Food Services,6730
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q3,72,Accommodation and Food Services,6321
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q3,72,Accommodation and Food Services,6560
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q3,72,Accommodation and Food Services,6241
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2020Q2,72,Accommodation and Food Services,2426
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q3,72,Accommodation and Food Services,6841
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2015Q4,72,Accommodation and Food Services,5613
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2017Q4,72,Accommodation and Food Services,5816
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q4,72,Accommodation and Food Services,5814
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q4,72,Accommodation and Food Services,5428
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q4,72,Accommodation and Food Services,6024
Separations,Baltimore City WIA,Maryland Separations by Industry,2015Q1,72,Accommodation and Food Services,4971
Separations,Baltimore City WIA,Maryland Separations by Industry,2017Q1,72,Accommodation and Food Services,5427
Separations,Baltimore City WIA,Maryland Separations by Industry,2016Q1,72,Accommodation and Food Services,4864
Separations,Baltimore City WIA,Maryland Separations by Industry,2018Q1,72,Accommodation and Food Services,5565
Separations,Baltimore City WIA,Maryland Separations by Industry,2019Q1,72,Accommodation and Food Services,5320
