Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,1561
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,1616
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,1793
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1369
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1405
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,1508
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,1727
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,1797
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,1867
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,1934
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,1990
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,0
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,2083
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,2228
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,2180
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,2270
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,2327
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2015Q4,72,Accommodation and Food Services,1739
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,1719
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,1803
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2018Q4,72,Accommodation and Food Services,1886
Earnings,Lower Shore WIA,Maryland Average Earnings by Industry,2019Q4,72,Accommodation and Food Services,1952
Job Change,Lower Shore WIA,Maryland Job Net Change by Industry,2015Q1,72,Accommodation and Food Services,311
Job Change,Lower Shore WIA,Maryland Job Net Change by Industry,2016Q1,72,Accommodation and Food Services,365
Job Change,Lower Shore WIA,Maryland Job Net Change by Industry,2017Q1,72,Accommodation and Food Services,422
Job Change,Lower Shore WIA,Maryland Job Net Change by Industry,2018Q1,72,Accommodation and Food Services,337
Job Change,Lower Shore WIA,Maryland Job Net Change by Industry,2019Q1,72,Accommodation and Food Services,225
Job Change,Lower Shore WIA,Maryland Job Net Change by Industry,2020Q1,72,Accommodation and Food Services,-1885
Job Change,Lower Shore WIA,Maryland Job Net Change by Industry,2015Q2,72,Accommodation and Food Services,5700
Job Change,Lower Shore WIA,Maryland Job Net Change by Industry,2016Q2,72,Accommodation and Food Services,5322
